user_id,user_name,batch_no,date,ctr_notification,notification_duration,notification_conversion,notification_dropoff,notification_nps,ctr_liveclass,liveclass_duration,liveclass_conversion,liveclass_dropoff,liveclass_nps,ctr_classroom,classroom_duration,classroom_conversion,classroom_dropoff,classroom_nps,ctr_curriculum,curriculum_duration,curriculum_conversion,curriculum_dropoff,curriculum_nps,ctr_shortcourses,shortcourses_duration,shortcourses_conversion,shortcourses_dropoff,shortcourses_nps,ctr_masterclass,masterclass_duration,masterclass_conversion,masterclass_dropoff,masterclass_nps,ctr_bookmentor,bookmentor_duration,bookmentor_conversion,bookmentor_dropoff,bookmentor_nps,ctr_doubtsession,doubtsession_duration,doubtsession_conversion,doubtsession_dropoff,doubtsession_nps,ctr_assignments,assignments_duration,assignments_conversion,assignments_dropoff,assignments_nps,ctr_resources,resources_duration,resources_conversion,resources_dropoff,resources_nps,ctr_recordings,recordings_duration,recordings_conversion,recordings_dropoff,recordings_nps,ctr_codingwindow,codingwindow_duration,codingwindow_conversion,codingwindow_dropoff,codingwindow_nps,ctr_questionbank,questionbank_duration,questionbank_conversion,questionbank_dropoff,questionbank_nps,ctr_helpticket,helpticket_duration,helpticket_conversion,helpticket_dropoff,helpticket_nps,ctr_referfriend,referfriend_duration,referfriend_conversion,referfriend_dropoff,referfriend_nps
1002,User_1002,B009,2024-03-18,0.409,45.5,1,0,,0.156,50.1,1,0,,0.759,1.2,0,1,,0.37,99.6,1,0,,0.275,44.3,0,1,,0.231,3.9,0,1,,0.275,46.2,0,1,,0.512,104.0,0,1,,0.52,64.5,0,1,72.0,0.264,86.9,0,1,,0.584,86.1,1,0,,0.398,65.1,1,0,,0.42,36.3,0,1,,0.038,26.6,1,0,0.0,0.111,22.4,1,0,
1002,User_1002,B016,2024-03-18,0.338,84.0,1,0,35.0,0.98,15.7,0,1,,0.767,71.8,1,0,,0.899,64.6,1,0,,0.913,43.6,0,1,,0.504,8.5,1,0,,0.852,71.8,0,1,18.0,0.418,96.4,1,0,89.0,0.711,105.9,0,1,,0.842,2.9,0,1,,0.251,49.3,0,1,,0.633,107.8,0,1,,0.832,102.3,1,0,,0.787,21.1,1,0,,0.644,13.4,0,1,
1002,User_1002,B009,2024-03-19,0.7,65.7,0,1,,0.865,118.8,1,0,,0.752,15.1,0,1,,0.966,45.8,1,0,,0.18,33.4,1,0,,0.309,91.9,0,1,,0.606,34.7,0,1,,0.705,24.8,1,0,,0.619,30.1,0,1,,0.241,96.0,0,1,,0.804,112.2,0,1,,0.071,92.8,1,0,,0.83,31.4,0,1,,0.643,115.2,0,1,,0.753,84.3,0,1,
1002,User_1002,B011,2024-03-21,0.168,109.2,1,0,,0.879,14.2,0,1,,0.508,2.5,1,0,,0.375,30.8,1,0,,0.552,11.6,0,1,,0.634,8.4,1,0,,0.746,6.8,0,1,,0.418,111.5,1,0,,0.554,4.7,1,0,,0.725,15.5,0,1,,0.205,118.4,0,1,,0.589,43.0,0,1,,0.035,2.4,1,0,,0.828,30.9,1,0,,0.091,43.3,1,0,
1003,User_1003,B008,2024-03-08,0.49,34.0,1,0,25.0,0.493,82.3,0,1,,0.101,23.1,0,1,,0.934,48.2,1,0,,0.429,97.0,0,1,21.0,0.57,105.1,1,0,,0.242,13.1,0,1,,0.323,42.6,0,1,,0.062,74.8,0,1,,0.773,87.0,0,1,33.0,0.308,24.9,0,1,,0.944,106.0,0,1,,0.559,64.7,1,0,,0.018,105.7,0,1,,0.02,58.9,1,0,
1003,User_1003,B015,2024-03-13,0.461,70.9,0,1,,0.13,16.7,1,0,,0.179,32.5,0,1,,0.584,1.7,1,0,,0.074,18.1,1,0,,0.611,119.0,1,0,,0.228,53.3,1,0,,0.569,30.1,1,0,,0.01,28.5,0,1,,0.089,114.3,0,1,,0.376,18.7,0,1,,0.748,57.9,0,1,,0.975,88.6,1,0,,0.446,106.8,0,1,,0.683,10.1,0,1,
1003,User_1003,B006,2024-03-16,0.941,21.3,0,1,,0.134,113.4,0,1,,0.949,75.4,0,1,,0.222,30.5,1,0,18.0,0.712,17.6,1,0,66.0,0.654,2.8,1,0,,0.296,33.7,0,1,,0.076,108.8,0,1,,0.649,107.3,1,0,,0.138,5.1,0,1,,0.982,71.9,1,0,,0.937,33.7,1,0,,0.999,101.2,1,0,,0.712,45.5,1,0,,0.804,83.7,0,1,
1003,User_1003,B004,2024-03-17,0.884,76.5,1,0,,0.049,107.1,1,0,,0.009,7.1,1,0,,0.812,56.3,1,0,,0.993,36.2,0,1,,0.712,50.1,0,1,,0.212,116.1,1,0,,0.695,71.4,1,0,,0.397,100.6,0,1,,0.218,82.5,1,0,,0.334,8.9,1,0,,0.303,110.7,0,1,,0.302,21.8,1,0,,0.136,52.1,1,0,,0.194,114.7,0,1,
1003,User_1003,B003,2024-03-18,0.334,57.3,0,1,,0.634,7.9,0,1,,0.455,73.0,0,1,,0.861,11.3,0,1,,0.888,101.5,0,1,,0.724,5.3,1,0,91.0,0.435,27.1,1,0,,0.817,5.9,1,0,,0.086,99.6,1,0,,0.927,30.8,1,0,,0.059,50.0,0,1,1.0,0.558,105.7,1,0,,0.977,20.3,0,1,35.0,0.173,73.3,1,0,,0.078,41.4,1,0,
1003,User_1003,B004,2024-03-20,0.203,7.1,1,0,,0.815,68.6,1,0,0.0,0.411,37.0,1,0,,0.383,12.4,0,1,,0.465,46.5,0,1,,0.172,39.9,1,0,,0.817,27.1,1,0,,0.374,52.9,0,1,,0.304,78.6,1,0,,0.628,72.5,1,0,,0.814,116.8,1,0,,0.824,61.2,0,1,,0.134,67.4,0,1,0.0,0.549,31.6,1,0,,0.703,33.7,0,1,57.0
1004,User_1004,B015,2024-03-02,0.906,70.5,1,0,,0.947,18.1,0,1,,0.893,102.4,1,0,,0.129,42.9,1,0,,0.7,4.2,1,0,,0.929,89.1,1,0,,0.689,75.6,1,0,,0.983,113.2,1,0,,0.823,38.5,0,1,,0.593,96.9,0,1,,0.288,20.3,0,1,,0.62,9.6,1,0,79.0,0.065,119.0,0,1,,0.501,77.3,0,1,,0.234,86.2,0,1,
1004,User_1004,B014,2024-03-11,0.145,25.4,1,0,52.0,0.322,93.2,1,0,,0.776,11.2,1,0,,0.6,117.8,1,0,,0.447,43.8,0,1,,0.888,84.8,1,0,81.0,0.893,76.4,1,0,,0.962,61.1,1,0,,0.171,5.0,0,1,85.0,0.281,7.1,0,1,,0.674,41.5,0,1,,0.398,73.5,0,1,,0.218,95.4,1,0,,0.015,60.9,0,1,,0.875,29.2,1,0,
1004,User_1004,B012,2024-03-11,0.075,61.9,1,0,,0.719,8.0,1,0,,0.847,48.5,0,1,,0.212,7.3,1,0,,0.437,105.9,1,0,,0.478,85.8,0,1,,0.041,38.8,0,1,,0.053,17.0,1,0,,0.743,26.8,0,1,,0.993,11.5,0,1,,0.274,41.6,0,1,91.0,0.329,87.4,0,1,,0.792,49.7,0,1,,0.279,56.4,0,1,,0.514,75.9,1,0,
1004,User_1004,B019,2024-03-21,0.93,76.0,1,0,,0.587,52.2,0,1,,0.191,20.4,1,0,,0.198,42.5,1,0,,0.036,49.8,0,1,,0.494,82.3,0,1,,0.519,68.5,0,1,44.0,0.833,70.5,0,1,,0.423,66.1,0,1,,0.906,20.9,1,0,,0.312,99.9,1,0,,0.816,93.2,1,0,,0.466,117.8,0,1,,0.399,50.2,0,1,,0.871,62.4,1,0,
1004,User_1004,B018,2024-03-23,0.509,104.4,1,0,,0.103,103.5,1,0,,0.586,107.8,1,0,,0.715,60.0,1,0,46.0,0.329,109.1,1,0,,0.224,96.6,0,1,44.0,0.604,107.8,1,0,,0.493,83.3,0,1,,0.457,48.9,0,1,,0.858,67.1,1,0,,0.524,52.0,1,0,,0.245,97.5,0,1,,0.831,79.2,0,1,,0.77,1.1,0,1,,0.276,32.5,1,0,
1004,User_1004,B002,2024-03-24,0.081,8.3,1,0,,0.298,21.6,0,1,,0.219,81.7,1,0,91.0,0.566,41.8,0,1,,0.629,42.8,0,1,,0.223,72.0,1,0,,0.95,50.2,0,1,,0.28,31.7,0,1,,0.117,11.2,1,0,,0.832,97.1,1,0,,0.631,104.6,1,0,6.0,0.914,64.1,1,0,,0.965,2.8,1,0,,0.047,66.0,0,1,,0.106,101.5,0,1,
1004,User_1004,B004,2024-03-26,0.565,71.6,0,1,59.0,0.553,73.2,0,1,,0.49,105.5,1,0,,0.258,40.1,0,1,,0.598,40.1,0,1,,0.119,81.9,1,0,,0.551,29.6,0,1,59.0,0.308,37.4,1,0,,0.364,63.5,0,1,,0.538,61.4,1,0,,0.583,33.7,1,0,,0.756,92.0,0,1,,0.44,9.1,1,0,,0.255,99.5,0,1,,0.779,17.1,1,0,
1004,User_1004,B009,2024-03-26,0.048,38.6,1,0,,0.91,80.1,1,0,,0.058,36.3,0,1,,0.835,75.6,1,0,,0.68,49.3,0,1,,0.134,80.2,1,0,,0.605,98.7,1,0,,0.29,22.9,1,0,41.0,0.151,31.2,1,0,,0.858,44.6,0,1,,0.564,53.0,0,1,23.0,0.954,110.8,0,1,,0.447,86.8,0,1,31.0,0.637,6.9,1,0,,0.894,40.8,0,1,
1004,User_1004,B009,2024-03-26,0.66,86.6,0,1,,0.391,109.9,0,1,,0.736,46.0,1,0,,0.747,3.5,1,0,,0.574,4.8,1,0,,0.153,78.4,0,1,,0.516,73.7,0,1,91.0,0.607,32.3,1,0,29.0,0.152,67.1,1,0,,0.66,85.5,1,0,,0.204,4.5,0,1,,0.822,25.3,1,0,,0.861,7.9,1,0,,0.203,76.5,0,1,69.0,0.584,20.2,0,1,
1004,User_1004,B001,2024-03-27,0.098,27.8,1,0,,0.116,99.3,1,0,,0.881,95.5,1,0,,0.429,78.5,1,0,,0.114,31.3,0,1,,0.988,82.5,1,0,,0.887,63.9,1,0,,0.054,65.1,1,0,,0.61,23.0,0,1,,0.867,111.1,1,0,,0.845,50.4,1,0,,0.91,111.1,0,1,,0.813,67.7,1,0,36.0,0.168,45.1,1,0,,0.941,40.7,0,1,
1004,User_1004,B017,2024-03-28,0.631,27.1,1,0,,0.381,49.7,1,0,,0.345,46.7,0,1,,0.525,19.8,0,1,,0.047,42.1,0,1,,0.864,38.0,1,0,,0.958,32.5,1,0,,0.602,60.5,1,0,,0.986,84.5,0,1,,0.176,70.9,0,1,,0.06,23.3,0,1,,0.389,24.8,1,0,,0.586,40.6,0,1,,0.665,3.2,1,0,,0.902,27.8,1,0,
1004,User_1004,B018,2024-03-29,0.606,114.7,0,1,,0.272,34.8,1,0,,0.166,84.5,1,0,,0.427,105.4,1,0,,0.019,70.1,0,1,54.0,0.091,2.5,0,1,,0.703,111.8,0,1,,0.75,118.4,0,1,,0.144,76.3,1,0,,0.846,71.5,1,0,,0.043,4.8,1,0,91.0,0.936,38.5,1,0,,0.491,29.8,1,0,,0.427,77.6,0,1,,0.558,81.1,1,0,
1004,User_1004,B004,2024-03-30,0.796,68.0,0,1,19.0,0.091,100.7,0,1,,0.082,103.2,1,0,,0.809,57.2,1,0,,0.089,66.9,0,1,,0.63,41.0,1,0,,0.169,48.7,1,0,,0.918,36.2,0,1,,0.596,43.7,1,0,,0.471,58.5,0,1,,0.568,36.3,0,1,,0.441,86.5,1,0,,0.254,50.4,0,1,,0.063,113.4,1,0,,0.922,98.7,0,1,
1005,User_1005,B014,2024-03-08,0.11,6.2,0,1,,0.938,1.7,1,0,,0.244,46.9,0,1,95.0,0.451,29.0,1,0,,0.171,1.7,1,0,,0.385,36.8,1,0,,0.607,38.9,1,0,,0.72,74.9,1,0,,0.668,96.6,0,1,,0.323,19.7,0,1,,0.976,15.2,0,1,,0.828,81.0,1,0,,0.691,45.4,1,0,41.0,0.459,26.0,1,0,,0.469,18.6,0,1,
1005,User_1005,B020,2024-03-08,0.067,10.1,0,1,26.0,0.223,60.9,0,1,,0.662,31.1,0,1,,0.515,28.6,1,0,,0.643,3.4,1,0,14.0,0.312,17.9,0,1,,0.483,80.6,0,1,,0.586,82.0,0,1,,0.771,102.6,1,0,,0.121,110.4,0,1,,0.472,27.5,0,1,,0.688,46.5,0,1,,0.432,87.1,0,1,,0.016,22.3,1,0,,0.135,109.4,1,0,
1005,User_1005,B019,2024-03-20,0.513,103.0,0,1,,0.973,28.9,1,0,,0.935,105.7,0,1,,0.001,102.4,1,0,,0.431,17.4,0,1,,0.526,42.6,1,0,,0.898,31.8,0,1,,0.701,89.6,0,1,,0.471,88.7,1,0,,0.101,90.2,1,0,,0.827,62.8,0,1,,0.307,38.2,1,0,,0.572,94.7,1,0,,0.364,12.8,1,0,,0.717,99.8,1,0,
1005,User_1005,B003,2024-03-20,0.954,65.6,1,0,,0.469,77.0,0,1,,0.052,13.7,1,0,,0.096,69.3,1,0,,0.141,98.6,1,0,,0.562,46.2,0,1,,0.321,11.7,0,1,,0.446,118.4,0,1,,0.282,11.3,1,0,,0.147,84.4,0,1,,0.15,81.1,0,1,,0.485,57.5,0,1,,0.624,70.8,0,1,,0.332,54.3,0,1,,0.493,21.7,0,1,
1005,User_1005,B006,2024-03-25,0.087,26.6,0,1,,0.566,111.8,1,0,74.0,0.53,78.3,0,1,,0.332,3.3,1,0,41.0,0.924,13.7,1,0,,0.022,25.2,0,1,,0.421,44.5,1,0,,0.404,19.8,0,1,,0.118,13.6,1,0,,0.01,101.5,1,0,,0.933,28.9,0,1,,0.271,69.5,0,1,,0.245,113.0,0,1,,0.728,72.0,1,0,,0.467,29.1,1,0,
1006,User_1006,B010,2024-03-04,0.01,4.7,0,1,,0.315,43.1,0,1,,0.761,80.7,0,1,,0.862,33.4,1,0,,0.364,89.2,0,1,,0.737,24.9,0,1,,0.821,9.0,1,0,,0.186,35.3,0,1,,0.941,99.1,1,0,,0.452,71.4,0,1,,0.461,25.7,0,1,86.0,0.296,114.6,0,1,44.0,0.214,14.4,1,0,,0.055,113.0,0,1,,0.141,10.9,0,1,
1006,User_1006,B012,2024-03-07,0.691,112.5,1,0,,0.742,11.0,1,0,,0.208,84.4,0,1,,0.891,58.7,0,1,,0.5,55.9,1,0,,0.916,13.7,1,0,,0.004,47.2,1,0,,0.636,63.6,1,0,,0.691,109.6,0,1,,0.372,57.9,1,0,,0.7,112.6,0,1,,0.938,93.0,0,1,,0.478,117.1,1,0,,0.866,109.9,1,0,,0.721,38.6,1,0,
1006,User_1006,B011,2024-03-08,0.623,44.0,0,1,,0.545,69.2,0,1,,0.561,21.6,0,1,,0.051,73.8,0,1,,0.541,10.9,0,1,32.0,0.878,64.2,1,0,,0.953,42.3,0,1,,0.722,14.3,0,1,,0.103,48.9,0,1,,0.769,78.3,1,0,,0.993,49.5,1,0,67.0,0.96,44.6,1,0,,0.165,108.2,1,0,,0.28,58.7,1,0,,0.553,103.9,0,1,
1006,User_1006,B014,2024-03-14,0.892,75.4,1,0,,0.142,23.5,1,0,44.0,0.058,79.9,1,0,,0.274,48.7,0,1,,0.66,30.0,1,0,50.0,0.127,51.9,0,1,,0.449,116.3,0,1,,0.313,2.7,0,1,,0.105,75.2,1,0,,0.881,91.1,0,1,,0.525,85.8,1,0,,0.632,8.1,0,1,,0.408,2.6,1,0,31.0,0.821,80.7,1,0,,0.213,80.8,1,0,
1006,User_1006,B006,2024-03-22,0.935,88.4,1,0,,0.159,113.8,0,1,,0.88,67.4,1,0,,0.267,111.6,1,0,,0.549,56.4,0,1,,0.752,11.4,0,1,,0.55,63.1,0,1,62.0,0.352,68.3,0,1,,0.193,66.3,0,1,,0.412,63.0,1,0,,0.207,17.5,1,0,,0.66,96.3,1,0,,0.656,113.4,1,0,,0.92,87.7,0,1,,0.218,54.3,1,0,
1006,User_1006,B016,2024-03-24,0.084,9.2,1,0,,0.644,28.0,1,0,,0.885,27.4,0,1,,0.66,46.3,0,1,,0.04,15.7,1,0,,0.979,110.8,1,0,,0.926,84.5,0,1,,0.573,72.9,0,1,3.0,0.426,55.5,0,1,,0.168,109.4,0,1,,0.398,74.1,1,0,,0.802,101.5,1,0,,0.509,27.7,0,1,,0.049,92.4,0,1,,0.093,10.2,1,0,
1006,User_1006,B005,2024-03-27,0.525,66.9,1,0,,0.208,116.3,0,1,,0.239,30.4,0,1,,0.816,68.5,1,0,,0.405,107.9,0,1,,0.602,65.2,0,1,,0.216,70.3,0,1,,0.088,31.2,1,0,,0.79,51.4,0,1,,0.226,58.7,0,1,,0.811,67.8,1,0,,0.374,2.8,0,1,,0.229,86.6,1,0,,0.758,35.5,1,0,,0.89,117.6,1,0,
1007,User_1007,B017,2024-03-07,0.689,99.6,1,0,,0.329,34.6,1,0,,0.399,37.6,0,1,,0.254,44.9,1,0,,0.331,35.8,0,1,,0.726,52.7,0,1,,0.332,4.3,0,1,,0.171,30.9,1,0,,0.034,51.8,0,1,,0.435,59.7,1,0,,0.501,96.8,1,0,,0.193,74.9,1,0,,0.585,103.6,0,1,,0.6,92.7,0,1,,0.106,104.0,0,1,
1007,User_1007,B007,2024-03-09,0.595,108.2,1,0,69.0,0.286,49.6,1,0,,0.036,8.8,1,0,,0.271,18.5,1,0,,0.284,110.3,0,1,,0.23,32.5,1,0,59.0,0.139,69.2,1,0,,0.88,52.0,0,1,,0.222,8.9,0,1,,0.061,67.6,1,0,,0.882,118.8,1,0,,0.1,25.5,0,1,,0.042,100.2,1,0,,0.101,32.7,1,0,,0.111,11.1,0,1,
1007,User_1007,B009,2024-03-09,0.555,16.3,0,1,,0.125,93.1,0,1,,0.122,96.9,1,0,,0.94,55.4,0,1,,0.196,27.2,1,0,91.0,0.77,95.2,1,0,,0.407,24.1,0,1,,0.728,1.5,1,0,,0.741,88.6,1,0,,0.973,32.4,0,1,,0.196,8.6,1,0,,0.613,73.3,1,0,,0.281,41.5,1,0,,0.406,25.8,0,1,21.0,0.983,101.9,0,1,
1007,User_1007,B004,2024-03-10,0.97,104.3,0,1,61.0,0.177,53.8,0,1,,0.163,37.3,0,1,,0.078,98.1,1,0,,0.82,12.3,1,0,,0.081,48.7,1,0,,0.651,69.3,0,1,,0.703,11.0,1,0,66.0,0.153,103.4,0,1,81.0,0.453,114.1,1,0,,0.175,114.5,0,1,,0.01,11.2,1,0,,0.654,104.1,0,1,,0.268,47.6,1,0,98.0,0.618,29.7,0,1,
1007,User_1007,B013,2024-03-10,0.999,94.4,0,1,,0.656,67.4,0,1,,0.221,8.1,0,1,,0.443,76.9,1,0,,0.183,42.0,1,0,,0.645,77.9,0,1,,0.245,102.3,0,1,,0.485,36.5,1,0,,0.419,1.9,1,0,,0.945,31.6,1,0,,0.14,60.7,1,0,81.0,0.648,74.1,1,0,,0.656,75.9,1,0,,0.557,38.1,0,1,,0.31,101.2,1,0,
1007,User_1007,B001,2024-03-15,0.898,79.7,1,0,,0.688,36.9,1,0,,0.487,107.5,1,0,,0.529,2.1,0,1,,0.23,80.7,0,1,21.0,0.929,93.2,1,0,,0.926,6.1,0,1,,0.259,83.0,0,1,,0.821,9.9,0,1,,0.628,35.2,0,1,,0.672,108.8,1,0,,0.854,55.4,1,0,,0.397,117.5,0,1,50.0,0.337,90.9,1,0,,0.266,43.0,0,1,
1007,User_1007,B007,2024-03-20,0.35,15.8,0,1,,0.743,35.7,0,1,,0.981,118.7,1,0,,0.998,11.2,1,0,67.0,0.926,72.4,0,1,,0.765,78.1,0,1,,0.843,87.3,0,1,,0.66,116.9,0,1,,0.598,94.4,1,0,41.0,0.338,31.6,0,1,,0.133,90.5,1,0,,0.808,41.1,0,1,,0.458,85.8,0,1,,0.414,6.7,0,1,,0.162,64.9,1,0,
1007,User_1007,B003,2024-03-26,0.774,11.5,0,1,,0.421,26.2,0,1,,0.123,74.9,0,1,,0.722,75.3,0,1,44.0,0.814,105.4,1,0,,0.547,53.7,0,1,,0.472,55.6,0,1,,0.026,84.5,0,1,,0.43,64.2,1,0,,0.398,58.3,0,1,,0.621,106.2,1,0,,0.35,110.9,0,1,,0.731,8.4,0,1,,0.459,108.5,1,0,,0.214,35.4,0,1,
1007,User_1007,B017,2024-03-27,0.977,37.4,1,0,,0.823,69.5,0,1,,0.799,96.3,1,0,,0.791,72.3,0,1,58.0,0.291,69.3,0,1,,0.906,40.3,0,1,,0.253,108.7,0,1,,0.761,24.1,0,1,,0.31,37.9,0,1,,0.31,16.4,0,1,,0.897,83.6,1,0,,0.621,101.2,1,0,,0.433,92.6,1,0,,0.075,41.2,1,0,,0.577,36.9,0,1,78.0
1007,User_1007,B020,2024-03-29,0.209,92.8,1,0,,0.601,37.1,1,0,,0.831,85.1,0,1,,0.499,22.8,0,1,,0.901,36.4,0,1,,0.519,38.9,0,1,,0.654,95.2,0,1,19.0,0.232,34.5,1,0,,0.936,68.0,0,1,,0.75,92.7,0,1,,0.555,3.0,1,0,,0.386,93.3,0,1,,0.381,60.1,1,0,,0.372,84.1,1,0,,0.368,108.4,1,0,
1007,User_1007,B020,2024-03-29,0.689,49.9,0,1,,0.943,71.3,1,0,,0.1,62.6,0,1,,0.081,60.3,1,0,,0.748,69.3,1,0,,0.718,75.1,0,1,,0.642,65.4,1,0,,0.486,25.3,0,1,,0.779,34.1,0,1,,0.916,8.3,0,1,,0.187,37.0,1,0,,0.524,60.0,0,1,,0.688,86.1,1,0,,0.635,58.8,1,0,,0.927,17.3,0,1,
1007,User_1007,B011,2024-03-31,0.839,86.8,1,0,,0.183,37.7,1,0,,0.431,109.1,0,1,,0.219,11.6,1,0,,0.422,59.8,1,0,7.0,0.058,93.4,0,1,8.0,0.091,66.0,0,1,,0.549,51.8,0,1,,0.108,91.6,1,0,,0.053,18.8,0,1,,0.194,113.9,1,0,,0.357,106.5,0,1,,0.807,71.5,0,1,,0.007,17.6,1,0,,0.829,36.0,0,1,
1008,User_1008,B007,2024-03-01,0.618,63.4,1,0,,0.635,64.8,1,0,,0.108,92.4,1,0,,0.486,76.8,0,1,,0.471,92.1,1,0,,0.648,115.7,0,1,,0.578,2.4,0,1,,0.21,58.3,0,1,,0.03,69.6,1,0,,0.826,109.5,0,1,,0.749,29.2,0,1,,0.703,73.8,0,1,,0.927,16.7,1,0,,0.633,57.7,0,1,,0.935,1.4,1,0,
